,distrito,numero_distrito,barrio,numero_barrio,tipo,nueva_construccion,metros2_const,n_habitaciones,n_banos,jardin,piscina,parking,precio_venta,eurosm2_distrito,eurosm2_barrio
0,Villaverde,District 21,San Cristóbal,Neighborhood 135,Pisos,False,64.0,2,1.0,False,False,False,85000,1328,1308.89
1,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,70.0,3,1.0,False,False,False,129900,1856,1796.68
2,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,94.0,2,2.0,False,False,False,144247,1535,1617.18
3,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,64.0,2,1.0,False,False,False,109900,1717,1617.18
4,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,108.0,2,2.0,False,True,True,260000,2407,1827.79
5,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,126.0,4,2.0,False,False,True,195000,1548,1617.18
6,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,120.0,5,2.0,False,True,True,190000,1583,1617.18
7,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,125.0,3,2.0,False,False,False,198500,1588,1617.18
8,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,84.0,3,2.0,False,True,True,212000,2524,2197.8
9,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,85.0,2,1.0,False,False,False,131400,1546,1827.79
10,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,69.0,2,2.0,False,False,False,118000,1710,1617.18
11,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,122.0,3,2.0,False,True,True,246900,2024,2197.8
12,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,123.0,3,2.0,False,False,False,195000,1585,1827.79
13,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,109.0,3,2.0,False,False,False,205000,1881,1796.68
14,Villaverde,District 21,San Cristóbal,Neighborhood 135,Pisos,False,64.0,3,1.0,False,False,False,72000,1125,1308.89
15,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,115.0,3,1.0,False,False,False,160000,1391,1827.79
16,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,115.0,3,1.0,False,False,False,184900,1608,1827.79
17,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,65.0,3,1.0,False,False,False,90000,1385,1796.68
18,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,75.0,3,1.0,False,False,False,129900,1732,1617.18
19,Villaverde,District 21,San Cristóbal,Neighborhood 135,Pisos,False,60.0,2,1.0,False,False,False,94900,1582,1308.89
20,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,60.0,2,1.0,False,False,False,89900,1498,1617.18
21,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,95.0,4,2.0,False,False,False,144900,1525,1796.68
22,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,76.0,3,1.0,False,False,False,110000,1447,1617.18
23,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,51.0,2,1.0,False,False,False,93000,1824,1617.18
24,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,134.0,3,2.0,False,False,False,130000,970,1617.18
26,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,75.0,3,1.0,False,False,True,138000,1840,1617.18
27,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,112.0,4,2.0,False,True,True,280000,2500,2197.8
28,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,65.0,3,1.0,False,True,False,150000,2308,1827.79
29,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,70.0,2,1.0,False,False,False,145900,2084,1617.18
31,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,123.0,3,2.0,False,True,True,298000,2423,1827.79
33,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,72.0,2,1.0,False,False,True,138000,1917,1617.18
34,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,61.0,3,1.0,False,False,False,100000,1639,2197.8
35,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,71.0,3,1.0,False,False,False,131400,1851,1617.18
36,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,87.0,3,1.0,False,False,False,96000,1103,1827.79
37,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,60.0,2,1.0,False,False,False,154000,2567,1617.18
40,Villaverde,District 21,Butarque,Neighborhood 131,Dúplex,False,125.0,3,3.0,False,True,False,275000,2200,2197.8
42,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,97.0,2,2.0,False,True,False,266122,2744,2197.8
43,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,93.0,2,2.0,False,True,False,228273,2455,2197.8
44,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,103.0,4,2.0,False,False,False,171900,1669,1796.68
45,Villaverde,District 21,Butarque,Neighborhood 131,Áticos,False,83.0,2,2.0,False,True,True,228273,2750,2197.8
46,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,45.0,2,1.0,False,False,False,85000,1889,1827.79
47,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,120.0,3,2.0,False,True,True,298000,2483,1827.79
48,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,74.0,3,1.0,False,False,False,139000,1878,1796.68
49,Villaverde,District 21,Butarque,Neighborhood 131,Dúplex,False,125.0,3,2.0,False,True,False,272500,2180,2197.8
50,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,126.0,4,2.0,False,True,True,275000,2183,2197.8
51,Villaverde,District 21,Butarque,Neighborhood 131,Áticos,False,158.0,3,2.0,False,True,True,289000,1829,2197.8
52,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,65.0,2,1.0,False,False,False,115000,1769,1827.79
53,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,108.0,3,2.0,False,False,False,179000,1657,1796.68
54,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,62.0,2,1.0,False,False,False,123000,1984,1617.18
55,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,51.0,2,1.0,False,False,False,89500,1755,1827.79
56,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,112.0,3,2.0,False,True,True,289000,2580,2197.8
57,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,109.0,3,2.0,False,True,True,216278,1984,2197.8
58,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,107.0,3,2.0,False,True,True,207503,1939,2197.8
59,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,76.0,2,2.0,False,True,True,162793,2142,2197.8
60,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,105.0,3,2.0,False,True,True,204999,1952,2197.8
61,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,109.0,3,2.0,False,True,True,220879,2026,2197.8
62,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,108.0,3,2.0,False,True,True,218258,2021,2197.8
63,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,109.0,3,2.0,False,True,True,231855,2127,2197.8
64,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,76.0,2,2.0,False,True,True,163397,2150,2197.8
65,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,76.0,2,2.0,False,True,True,160759,2115,2197.8
66,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,108.0,3,2.0,False,True,True,217169,2011,2197.8
67,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,76.0,2,2.0,False,True,True,165208,2174,2197.8
68,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,109.0,3,2.0,False,True,True,219775,2016,2197.8
69,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,108.0,3,2.0,False,True,True,230817,2137,2197.8
70,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,108.0,3,2.0,False,True,True,213722,1979,2197.8
71,Villaverde,District 21,Butarque,Neighborhood 131,Áticos,True,111.0,2,2.0,False,True,True,230749,2079,2197.8
72,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,115.0,3,2.0,False,True,True,233789,2033,2197.8
73,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,115.0,3,2.0,False,True,True,230789,2007,2197.8
74,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,117.0,3,2.0,False,True,True,244171,2087,2197.8
75,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,117.0,3,2.0,False,True,True,243468,2081,2197.8
76,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,117.0,3,2.0,False,True,True,244798,2092,2197.8
77,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,118.0,3,2.0,False,True,True,219235,1858,2197.8
78,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,115.0,3,2.0,False,True,True,242789,2111,2197.8
80,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,106.0,3,2.0,False,True,False,251569,2373,2197.8
81,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,103.0,3,2.0,False,True,False,235402,2285,2197.8
82,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,103.0,3,2.0,False,True,False,235172,2283,2197.8
83,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,103.0,3,2.0,False,True,False,236227,2293,2197.8
84,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,114.0,3,2.0,False,True,False,254710,2234,2197.8
85,Villaverde,District 21,San Andrés,Neighborhood 134,Casa o chalet,False,150.0,2,1.0,False,False,True,159000,1060,1617.18
86,Villaverde,District 21,Butarque,Neighborhood 131,Dúplex,False,140.0,3,3.0,False,True,False,272500,1946,2197.8
87,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,58.0,3,1.0,False,False,False,85000,1466,1827.79
88,Villaverde,District 21,San Cristóbal,Neighborhood 135,Pisos,False,65.0,3,1.0,False,False,False,94000,1446,1308.89
89,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,110.0,4,2.0,False,False,False,175000,1591,1827.79
90,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,False,173.0,4,2.0,False,True,True,268000,1549,2197.8
91,Villaverde,District 21,San Andrés,Neighborhood 134,Áticos,False,75.0,2,1.0,False,False,False,156000,2080,1617.18
92,Villaverde,District 21,Butarque,Neighborhood 131,Áticos,True,90.0,1,1.0,False,True,True,183159,2035,2197.8
93,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,125.0,3,2.0,False,False,True,210000,1680,1827.79
94,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,58.0,2,1.0,False,False,False,85000,1466,1617.18
95,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,92.0,3,1.0,False,False,False,159900,1738,1796.68
96,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,70.0,2,1.0,False,False,False,117000,1671,1617.18
97,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,54.0,2,1.0,False,False,False,110000,2037,1617.18
98,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,52.0,2,1.0,False,False,False,100000,1923,1827.79
99,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,108.0,3,1.0,False,False,False,140000,1296,1617.18
100,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,65.0,2,1.0,False,False,False,106500,1638,1827.79
101,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,102.0,3,2.0,False,False,False,127500,1250,1827.79
102,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,80.0,2,1.0,False,False,True,148000,1850,1617.18
103,Villaverde,District 21,Butarque,Neighborhood 131,Dúplex,False,108.0,2,1.0,False,True,True,205000,1898,2197.8
104,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,80.0,3,2.0,False,True,True,220000,2750,1827.79
105,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,16.0,3,1.0,False,False,False,114000,7125,1827.79
106,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,54.0,2,1.0,False,False,False,89900,1665,1617.18
107,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,70.0,2,2.0,False,True,True,210000,3000,1827.79
108,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,99.0,2,2.0,False,False,False,145000,1465,1617.18
110,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,64.0,3,1.0,False,False,False,104000,1625,1796.68
111,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,107.0,3,2.0,False,True,True,228629,2137,2197.8
112,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,76.0,2,2.0,False,True,True,169021,2224,2197.8
113,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,109.0,3,2.0,False,True,True,223022,2046,2197.8
114,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,108.0,3,2.0,False,True,True,220072,2038,2197.8
115,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,103.0,3,2.0,False,True,False,235718,2289,2197.8
116,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,103.0,3,2.0,False,True,True,245000,2379,2197.8
117,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,143.0,3,2.0,False,True,True,260000,1818,2197.8
118,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,99.0,3,2.0,False,True,True,235000,2374,2197.8
119,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,100.0,3,2.0,False,True,True,235000,2350,2197.8
120,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,176.0,2,2.0,False,True,True,265000,1506,2197.8
121,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,87.0,2,2.0,False,True,True,190000,2184,2197.8
122,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,106.0,3,2.0,False,True,False,256115,2416,2197.8
123,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,113.0,3,2.0,False,True,False,261989,2318,2197.8
124,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,115.0,3,2.0,False,True,False,273353,2377,2197.8
125,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,129.0,3,2.0,False,True,False,297621,2307,2197.8
126,Villaverde,District 21,Butarque,Neighborhood 131,Pisos,True,115.0,3,2.0,False,True,False,279778,2433,2197.8
127,Villaverde,District 21,San Andrés,Neighborhood 134,Pisos,False,110.0,2,2.0,False,False,False,135000,1227,1617.18
128,Villaverde,District 21,Los Ángeles,Neighborhood 132,Pisos,False,90.0,3,2.0,False,False,False,195000,2167,1796.68
129,Villaverde,District 21,Los Rosales,Neighborhood 133,Pisos,False,60.0,2,1.0,False,False,False,126900,2115,1827.79
